"","posted_date","candidate","message","observation","likes","comments","shares","type","language","media"
"16",2020-10-20,"biden","If you live in Hawaii, Utah, or Wisconsin, it’s time to vote! Early voting has started statewide in your community. Head to iwillvote.com to get more information.","image with important dates for each state",12915,3100,1000,"link to Iwillvote.com","en",NA
"17",2020-10-20,"biden","My friend Katie Porter brought out her famous whiteboard to break down how Kamala Harris and I will put kids and families first.","video of Porter with the whiteboard",20108,2500,2910,"video","en",NA
"18",2020-10-20,"biden","Turns out Twitter isn’t so bad when you read tweets that aren’t from President Trump.","video of Biden wearing mask and rereading supportive tweets",16433,6200,1674,"video","en",NA
"19",2020-10-20,"biden","Hey, New Mexico! Today is your last day to request an absentee ballot! Don't wait and get registered now! iwillvote.com/NM","image of vote symbol",6174,3500,217,"link to Iwillvote.com","en",NA
"20",2020-10-20,"biden","This week we passed 8 million COVID-19 cases in the United States. We’ve lost over 220,000 Americans to this deadly virus. It didn’t have to get this bad, but our Commander-in-Chief has failed to get this under control.","video with Michelle Obama with infographics of COVID-19 deaths compared to other events in US history",14333,5400,2560,"video","en",NA
"21",2020-10-20,"biden","Voting is your opportunity to be in the room where it happens. Don't throw away your shot: makeaplan.com","Video of Biden in first debate explaining why to vote",12000,4000,1408,"video","en",NA
"22",2020-10-20,"biden","Utah! Today is your first day to vote early! Make your voice heard and VOTE! Make your voice heard and VOTE!","image of vote symbol",9424,3600,260,"link to Iwillvote.com","en",NA
"23",2020-10-21,"biden","Making time to talk with family is important — especially when I’m on the campaign trail. I mean this sincerely, every once in awhile check-in with the people in your life.","video of Biden talking on the cell phone with family.",34990,6000,1653,"video","en",NA
"24",2020-10-21,"biden","It’s time to vote, West Virginia! For more information on how and where to vote, go to iwillvote.com/WV.","image of vote symbol",14372,4100,767,"link to Iwillvote.com","en",NA
"25",2020-10-21,"biden","Protect each other. Wear a mask.","photo of Biden with a mask.",145082,6600,8800,"photo","en",NA
"26",2020-10-21,"biden","Missouri - Today is the last day to request a mail or absentee ballot! Your clerk must receive your application by today at 5:00 PM. Don't wait. iwillvote.com/MO","image of vote symbol",5339,3300,256,"link to Iwillvote.com","en",NA
"27",2020-10-21,"biden","Long before his failure as president, Donald Trump failed at managing his own businesses.","video of Trump's failed businesses",48534,12000,42740,"video","en",NA
"28",2020-10-21,"biden","The Trump Administration gave Wall Street investors a heads up about how deadly COVID-19 would be, but to the American people, he said nothing. His reckless personal conduct since his diagnosis is unconscionable, and the longer Donald Trump is president, the more reckless he gets.","This is an article from Vanity Fair on this issue.",31634,8300,6961,"link to Vanity Fair article","en",NA
"29",2020-10-21,"biden","In-person early voting has kicked off in Wisconsin, Jill and I want to remind everyone to make a plan to vote and, if you can, vote early. You can be one of the first to move our country forward. This election is bigger than any one candidate. The future of our economy, our health care, our climate, our commitment to racial justice, our democracy, and so much more is on the ballot. Together, we can beat President Trump and restore the soul of our nation. This election is bigger than any one candidate. The future of our economy, our health care, our climate, our commitment to racial justice, our democracy, and so much more is on the ballot. Together, we can beat President Trump and restore the soul of our nation. Wisconsinites, visit www.iwillvote.com/WI for more information about how to cast your ballot.","The video has data on early voting in WI during the 2016 elections",6040,3200,835,"video","en",NA
"30",2020-10-21,"biden","All work has dignity. It’s about time we give workers the protections and rights they deserve.","no pictures, just post",NA,NA,NA,"post","en",NA
"31",2020-10-21,"biden","Bajo la administración Biden-Harris, los impuestos no aumentarán ni un centavo para cualquier persona que gane menos de $400,000 al año.","no pictures, just post",39255,10000,2936,"post","es",NA
"32",2020-10-21,"biden","Tune in as Barack Obama sits down with community leaders in Philadelphia to talk about what’s at stake in this election.","Live video of an Obama event",7628,3100,283,"video","en",NA
"33",2020-10-21,"biden","Tune in as Barack Obama sits down with community leaders in Philadelphia to talk about what’s at stake in this election.","Video of above Obama Event",10740,5600,1330,"video","en",NA
"34",2020-10-21,"biden","Tune in as Barack Obama sits down with community leaders in Philadelphia to talk about what’s at stake in this election.","Video of Obama event",25992,11000,4637,"video","en",NA
"35",2020-10-21,"biden","I couldn’t be more excited to have my friend Barack Obama hitting the campaign trail. Tune in for his first drive-in rally live from Philadelphia.","this was the live feed of the Obama rally. Now link to the video.",24617,4200,1051,"video","en",NA
"36",2020-10-21,"biden","I couldn’t be more excited to have my friend Barack Obama hitting the campaign trail. Tune in for his first drive-in rally live from Philadelphia.","Video of Obama rally",32503,18000,6004,"video","en",NA
"37",2020-10-21,"biden","All work has dignity. It’s about time we give workers the protections and rights they deserve.","Biden in a train.",15852,6400,2018,"video","en",NA
"38",2020-10-22,"biden","Folks, you heard Barack Obama. Make a plan, vote early, and make sure your friends and family do as well. iwillvote.com","Obama asking people to vote.",23631,5000,3026,"video","en",NA
"39",2020-10-22,"biden","There are so many signs that the American people are looking for better from their leaders. Kamala Harris and I are committed to uniting our country and building a strong future for all of you.","the video has photos of BLM and issues on racial justice.",9882,3300,1126,"video","en",NA
"40",2020-10-22,"biden","Nuestra economía no puede sobrevivir otros cuatro años bajo la administración Trump, necesitamos priorizar las necesidades de todas nuestras comunidades.","no pictures, just post",20608,5900,808,"post","es",NA
"41",2020-10-22,"biden","“I am asking you to believe in Joe’s ability, and Kamala’s ability, to lead this country out of these dark times, and help us build back better. We can’t abandon those protesters who inspired us; we’ve got to channel that activism into action. We can’t just imagine a better future; we’ve got to fight for it. We’ve got to out-hustle the other side. We’ve got to vote like never before and leave no doubt. Make a plan right now for how you’re going to get involved and vote. Do it as early as you can and tell your family and friends how they can vote too. Don’t stop with Joe and Kamala – make sure you vote all the way down the ticket. And if we pour all our effort into these 12 days; if we vote up and down the ticket like never before; then we will elect Joe Biden and Kamala Harris. And we will leave no doubt about what this country we love stands for.” - President Barack Obama","photo of obama's event in philadelphia",81764,8900,4858,"photo","en",NA
"42",2020-10-22,"biden","Listening to anything Donald Trump says is, well — painful.","Video of Biden and Harris talking.",16536,4000,2189,"video","en",NA
"43",2020-10-22,"biden","Every day it seems we uncover new horrors perpetrated by President Trump and his administration against our most deeply held values in pursuit of their extreme anti-immigrant agenda. Of the thousands of children that the Trump Administration forcibly separated from their parents as part of its cruel “zero-tolerance” policy, 545 children are still separated from their parents years later. This Administration ripped babies from their mother’s arms, and then it seems, those parents were in many cases deported without their children and have not been found. It’s an outrage, a moral failing, and a stain on our national character. There are many issues that are complicated, but some things are just black and white. Families belong together. That’s the very core of my immigration policy. We can secure our borders without treating immigrants as less than human. My Administration will treat asylum seekers at our border with dignity and ensure that they receive the fair, legal hearing to which they are entitled. I’ll send a bill to Congress on day one that will create a roadmap to citizenship for the 11 million undocumented individuals already living in and strengthening the United States. These are our neighbors and coworkers, and they are integral to our communities.","no pictures, just post",56956,11000,5449,"post","en",NA
"44",2020-10-22,"biden","We’re in the battle for the soul of the nation. And I promise you, I will be a president who appeals to the best in us — not the worst. Join us in this fight: iwillvote.com","campaign ad",6728,2600,733,"video","en",NA
"45",2020-10-22,"biden","Make no mistake: America has been knocked down. The unemployment rate is higher than it was in the Great Recession. Millions have lost jobs, hours, pay, health care, or the small business they started. As president, I’ll create millions of good-paying jobs and to give America’s working families the tools, choices, and freedom they need to build back better. As president, I’ll create millions of good-paying jobs and to give America’s working families the tools, choices, and freedom they need to build back better.","campaign ad narrated by Elizabeth Warren",7392,3300,1099,"video","en",NA
"46",2020-10-22,"biden","America was an idea. We've never lived up to it, but we've never walked away from it before. I talked about this and more in my sit-down with Brené Brown. Listen as we chat about empathy, unity, and courage: joe.link/BreneBrown","A sample of a podcast interview.",9792,3000,1056,"video","en",NA
"47",2020-10-22,"biden","Vote for those who can’t. We owe it to them to create a better America","photo of Obama with little girl",145202,7000,8272,"photo","en",NA
"48",2020-10-22,"biden","I first met Brayden on a rope line in New Hampshire. I knew he was an extraordinary kid, but little did either of us know we’d become lifelong friends. I’m proud as ever of this brilliant young man. Today, stuttering is still a speech disorder that is mocked constantly. But what I’ve said to Brayden is this — don’t let it define you.","campaign ad",25587,2600,3585,"video","en",NA
"49",2020-10-22,"biden","Folks, the final debate is here. Tune in at 9 PM ET as I go head-to-head with Donald Trump for the last time before Election Day.","no pictures, just post",25836,7900,578,"post","en",NA
"50",2020-10-22,"biden","12 days to go.","photo of biden and wife",180916,11000,5647,"post","en",NA
"51",2020-10-22,"biden","I’m going to shut down the virus, not the country.","no pictures, just post",163718,15000,5432,"post","en",NA
"52",2020-10-22,"biden","I don’t look at this the way Donald Trump does — blue states or red states. They’re all the United States.","no pictures, just post",115767,13000,5496,"post","en",NA
"53",2020-10-22,"biden","We’ve been waiting years for President Trump to reveal his grand plan for health care, and he still has nothing to show. I’ve laid out exactly what I’ll do. Take a look: JoeBiden.com/healthcare","photo of biden and a doctor",26239,11000,1610,"post","en",NA
"54",2020-10-22,"biden","Call it Bidencare.","photo of Bidencare",123095,12000,14070,"photo","en",NA
"55",2020-10-22,"biden","Folks, I just stepped off the debate stage, and I’ve never been more fired up and ready to win this election. Now, I need your help — chip in to keep tonight’s momentum going through Election Day:","photo of Biden and Harris with actblue link",19583,1600,457,"photo","en",NA
"56",2020-10-22,"biden","Decency, honor, respect, treating people with dignity, making sure that everyone has an even chance. I'm going to make sure you get that. You haven't been getting it the last four years.","clip of the last presidential debate",42798,7700,5136,"video","en",NA
"57",2020-10-22,"biden","That’s it, folks. We’ve wrapped the final debate and we laid it all out on the table. You know who I am. You know who he is. Now you get to decide what the future of this country looks like.
Do we choose unity or division?
Science or fiction?
Truth or lies?
Hope or fear?
It’s all up to you. Look closely — make your voice heard, and vote.","Biden on podium during the second presidential debate.",177680,28000,15689,"photo","en",NA
"58",2020-10-23,"biden","It’s time we build an economy that rewards work instead of wealth.","video of Biden and people",14212,3900,1593,"video","en",NA
"59",2020-10-23,"biden","11 días. Esto es todo, amigos, y si votan, ganaremos.","no pictures, just post",37737,5000,1073,"post","es",NA
"60",2020-10-23,"biden","The character of our country is on the ballot.
Last night’s debate showed once and for all that the choice is as clear as ever and the stakes are as high as ever.
Vote: iwillvote.com","video clips of debate",21233,6700,2553,"video","en",NA
"61",2020-10-23,"biden","Utah — today is the last day to register to vote online.
After today, you can register when you vote early in-person or at the polls on Election Day.
Head to http://iwillvote.com/UT to get registered.","i will vote symbol",3371,1500,121,"link to Iwillvote.com","en",NA
"62",2020-10-23,"biden","Nebraska –– It’s your last day to register to vote in-person. Head to http://iwillvote.com/NE to find all the information you need.","i will vote symbol",12719,9800,433,"link to Iwillvote.com","en",NA
"63",2020-10-23,"biden","Once again, COVID-19 cases are rising across the nation. Tune in as I discuss how I’ll get the virus under control and our economy back on track.","Live video of Biden's event",10571,4700,482,"video","en",NA
"64",2020-10-23,"biden","Once again, COVID-19 cases are rising across the nation. Tune in as I discuss how I’ll get the virus under control and our economy back on track.","video of Biden's event",10593,10000,1706,"video","en",NA
"65",2020-10-23,"biden","After eight months of this pandemic, we finally found President Trump's plan to beat COVID-19.","it is a stunt.",39496,10000,7523,"link to a website not affiliated with Trump or Biden campaigns","en",NA
"66",2020-10-23,"biden","We need all hands on deck in the final days of this campaign — it's time to get out there and vote early! And if you're thinking, ""Well, I've already voted,"" we still need your help getting out the word to others. Will you sign up to make calls and send texts to folks across the country and make sure that they've voted early? Do your part — join us for Early Vote Day tomorrow. http://joe.link/vote-early-day","Image of vote early",18222,4900,1460,"link to campaing website","en",NA
"67",2020-10-23,"biden","TUNE IN NOW: Unity Town Hall with Bernie Sanders and Progressives for Biden. Watch as Senator Bernie Sanders, Representative Pramila Jayapal, Representative Mark Pocan, Representative Chuy García, and Representative Ayanna Pressley discuss our plans to advance democracy and justice, and put the people first.","Video of event with Sanders",7528,7300,1356,"video","en",NA
"68",2020-10-23,"biden","The fight for justice doesn’t end here.
But it starts with voting. iwillvote.com","African American man voting",7090,3100,1015,"Video","en",NA
"69",2020-10-23,"biden","Cada día parece que descubrimos nuevos horrores cometidos por el presidente Trump y su administración contra nuestros valores más arraigados en la búsqueda de su extrema agenda antiinmigrante. De los miles de niños que la Administración Trump separó a la fuerza de sus padres como parte de su cruel política de ""cero tolerancia"", 545 niños siguen separados de sus padres años después. Esta Administración arrancó a bebés de los brazos de sus madres y después al parecer, en muchos casos esos padres fueron deportados sin sus hijos, y no han sido encontrados. Es una infamia, una falla moral y una mancha a nuestro carácter nacional.
Hay muchas cuestiones que son complicadas, pero algunas cosas son solo en blanco y negro. Las familias deben estar juntas. Ese es el núcleo de mi política de inmigración. Podemos asegurar nuestras fronteras sin tratar a los inmigrantes como menos que seres humanos. Mi Administración tratará a los solicitantes de asilo en nuestra frontera con dignidad y se asegurará de que reciban la justa audiencia legal a la que tienen derecho. Desde el primer día de mi administración, enviaré un proyecto de ley al Congreso que delineara una ruta hacia la ciudadanía para las 11 millones de personas indocumentadas que ya viven y fortalecen a los Estados Unidos. Ellos son nuestros vecinos y compañeros de trabajo y son parte integral de nuestras comunidades.","no pictures, just post",47408,12000,3981,"post","es",NA
"70",2020-10-24,"biden","I’ve dedicated my life to public service. For 36 years, I was honored to serve the state of Delaware in the Senate. I’m proud of what I was able to get done for the hardworking folks I represented, and I want to share a few highlights with you.","campaign ad",10960,3400,1719,"video","en",NA
"71",2020-10-24,"biden","A purr-fect reminder for you to vote, volunteer, donate, or support in whatever way you can. Thank you to all the people who shared photos and videos of their cats with us!","cat video",17563,2900,2171,"video","en",NA
"72",2020-10-24,"biden","The character of our country is on the ballot.
Last night’s debate showed once and for all that the choice is as clear as ever and the stakes are as high as ever.
Vote: iwillvote.com","clips of 2nd presidential debate",10557,3100,1338,"video","en",NA
"73",2020-10-24,"biden","I believe there is not a single thing we cannot accomplish as a country if we do it together.","campaign ad",20712,4900,2210,"video","en",NA
"74",2020-10-24,"biden","Shamar — you’re absolutely right. We don’t thank people enough. It’s really important that we treat everyone with respect. You have some great ideas and I can’t wait to see all the great things you do.","Biden talking with African American boy.",41302,4100,5360,"video","en",NA
"75",2020-10-24,"biden","Whether it’s your first time voting or you’re an old pro, voting is better with friends and family. So message a few folks and make your plan to vote together today. makeaplan.com","dad and daughter vote  - seem to be south asian",9844,2100,588,"video","en",NA
"76",2020-10-24,"biden","With just ten days until Election Day, Dr. Biden and I are in Bucks County, Pennsylvania, to encourage folks to vote early. Tune in.","biden's event",14280,15000,1798,"video","en",NA
"77",2020-10-24,"biden","Folks, if early voting is available in your area I’m asking you to head out and vote today. You don’t have to wait until Election Day to make your voice heard. 
And if you’ve already voted, can you help me by volunteering to make calls to get out the vote? The calls you make could be the difference in the outcome of this campaign. Sign up for a shift today: joe.link/vote-early-day","image of vote! Early day...",21576,4500,1518,"link to campaing website","en",NA
"78",2020-10-24,"biden","We’re going to choose science over fiction. We’re going to choose hope over fear. We’re going to choose to move forward as a united front, because there is so much we can do if we just do it together.","no pictures, just post",77124,11000,3998,"post","en",NA
"79",2020-10-24,"biden","Podemos variar en raza y cultura pero al fin y al cabo somos más fuertes cuando estamos unidos.","campaign ad trargeted to latinos in english",9045,1900,939,"video","es",NA
"80",2020-10-24,"biden","Rick — thank you for sharing your talent with me. I was so blown away by your art that I asked my team to add it to our online store: https://joe.link/37CIrk1","biden talking with a person with down sindrome",59652,4000,9729,"video","en",NA
"81",2020-10-24,"biden","We've got 10 days left -- and it's time to vote!
Tune in as Barack Obama holds a rally in North Miami, Florida and make your plan to vote. makeaplan.com","Obama's event",18272,14000,3806,"video","en",NA
"82",2020-10-24,"biden","I will be, first and foremost, an American President. I’ll represent everyone— whether you vote for me or against me. I promise to listen, learn, and always treat you with the respect you deserve.","no pictures, just post",105094,10000,4781,"post","en",NA
"83",2020-10-24,"biden","Dr. Jill Biden and I are in Luzerne County, Pennsylvania, to encourage folks to vote early. Tune in — and then head to makeaplan.com to make your plan to vote.","Biden and Jill Biden's event",12683,13000,1861,"video","en",NA
"84",2020-10-24,"biden","Of the thousands of children that the Trump Administration forcibly separated from their parents as part of its cruel “zero-tolerance” policy, 545 children are still separated from their parents years later. This Administration ripped babies from their mother’s arms, and it seems those parents in many cases were deported without their children and have not been found. It’s an outrage, a moral failing, and a stain on our national character.","The article is on the separation of children.",42585,15000,5686,"link to NYTimes.com","en",NA
"85",2020-10-24,"biden","Folks, I've got some big news: We officially reached our goal of talking to 10 million voters on this Vote Early Day.
But we're not done yet, we set a new goal of 15 million and can't reach it without you.
Sign up to help: joe.link/vote-early-day","Image with vote! sign",19381,5200,779,"link to campaing website","en",NA
"86",2020-10-24,"biden","We're ten days out from Election Day, and Cher is out in Las Vegas, Nevada to help us get out the early vote. We can’t “turn back time"" -- so get those ballots in!","Rally with Cher",19296,11000,2919,"video","en",NA
"87",2020-10-24,"biden","Folks, you heard Barack Obama. Make a plan, vote early, and make sure your friends and family do as well. iwillvote.com","Obama asking people to vote.",13413,4400,1196,"video","en",NA
"88",2020-10-24,"biden","Asian Americans have a deep and rich history in America, and they are essential to the fabric of this nation. Our campaign is about building a coalition where everyone belongs, and as president, I will build a government that once again champions our nation’s diversity. That starts with celebrating and uplifting the voices, cultures, and contributions of the Asian American and Pacific Islander community.","Biden with Asian Americans",7159,2300,609,"video","en",NA
"89",2020-10-24,"biden","Vote for America.
iwillvote.com","campaign video",17160,3000,2133,"video","en",NA
"90",2020-10-25,"biden","You deserve a president who will get up every single day and work to make your life better.
If you elect me, that’s exactly what I’ll do.","campaign video",27708,6500,2666,"video","en",NA
"91",2020-10-25,"biden","A todos ustedes que son nuevos ciudadanos naturalizados y están a punto de votar en su primera elección en los Estados Unidos, ¡felicidades!
Somos una nación de inmigrantes. Somos una mejor nación porque ustedes están aquí y son parte de este proceso electoral.","Latino holding a phone and Biden talks to the man's dad who became a US citizen.",5321,1200,441,"video","es",NA
"92",2020-10-25,"biden","Long before his failure as president, Donald Trump failed at managing his own businesses.","Trump's business problems",17543,5100,8035,"video","en",NA
"93",2020-10-25,"biden","Let’s put a dog (or two!) back in the White House","Biden with a dog",27846,5300,2475,"video","en",NA
"94",2020-10-25,"biden","Making time to talk with family is important — especially when I’m on the campaign trail. I mean this sincerely, every once in awhile check-in with the people in your life.","Biden talking in phone with family",13457,4200,536,"video","en",NA
"95",2020-10-25,"biden","Aarya, thank you for helping me get out the vote! 
She’s right, folks. There’s no time to waste.
Head to iwillvote.com","Deaf girl making the case for voting",15035,1900,1554,"video","en",NA
"96",2020-10-25,"biden","9 days, folks. This is it. The final stretch.","Biden waiving",180661,16000,6445,"photo","en",NA
"97",2020-10-25,"biden","We’re showing up early for everything this year.
Get ready. makeaplan.com","Obama in his office waiting",22617,3100,4986,"video","en",NA
"98",2020-10-25,"biden","Historically Black Colleges and Universities stand out for student achievement, which is why we need to invest in their continued success. While representing just three percent of the nation’s institutions of higher learning, they graduate nearly 20 percent of African Americans. 
HBCUs are experiencing huge funding disparities. My plan calls for more than $70 billion in new funding for HBCUs and Minority-serving Institutions, including resources for new research incubators to tap into the talent of HBCU students and faculty to help solve our biggest problems — from climate change to cancer. 
Read my full plan: joebiden.com/beyondhs","flyer of plan to support HBCUs",19974,7600,1206,"photo","en",NA
"99",2020-10-25,"biden","After months of competing against each other in the primary Elizabeth Warren, Pete Buttigieg, Cory Booker, Julián Castro, Amy Klobuchar, and I know each other pretty well. Watch them break down the latest presidential debate:","former Democratic candidates",22264,3900,6615,"video","en",NA
"100",2020-10-25,"biden","Words matter. Actions matter.","campaign ad",13686,3600,5198,"video","en",NA
"101",2020-10-25,"biden","Entre más tiempo Donald Trump es presidente, más imprudente se vuelve","no pictures, just post",33172,5600,1075,"post","es",NA
"102",2020-10-25,"biden","The right to vote is sacred — and my friend, Stacey Abrams, wants to tell you why. iwillvote.com","campaign ad",5667,1700,548,"video","en",NA
"103",2020-10-25,"biden","The American people deserve a president who has the respect of our teachers.","Teachers criticize Trump's policies",26675,4300,8728,"video","en",NA
"104",2020-10-25,"biden","El presidente Trump todavía no tiene un plan para controlar este virus.
Yo si.","Photo of Joe and it reads ""El plan de biden para combatir el Coronavirus...""",20211,5200,921,"link to campaign website","es",NA
"105",2020-10-25,"biden","no words","video on civil rights",19236,3100,9884,"video","en",NA
"106",2020-10-25,"biden","There is a real human toll to President Trump's failed leadership.
We can't forget that.","empty chair as for people who died of COVID",13656,4300,4502,"video","en",NA
"107",2020-10-25,"biden","Donald Trump spent months downplaying the seriousness of this virus. He discredited medical experts and failed to provide enough PPE to our medical workers. On Friday, Johns Hopkins University reported 83,757 new cases and 943 new deaths. This is now the highest number of new cases reported in a single day since the pandemic began. It didn’t need to be this bad.","It includes a infographic comparing states with a mask mandate and the ones without.",39921,6400,4396,"photo","en",NA
"108",2020-10-25,"biden","Jacquelyn, thank you for your kind words. You were so good to me. Meeting you in that elevator last year, it was an honor. We’re going to succeed in this race because of hard working Americans like you.
","campaign ad",17680,2000,1440,"video","en",NA
"109",2020-10-25,"biden","I will never give up on the American people.","campaign ad on COVID",12452,3300,1908,"video","en",NA
"110",2020-10-25,"biden","“I hope they end [the Affordable Care Act].”
If the ACA is repealed, 30 million Americans will lose coverage. It’s unconscionable.","Trump saying he wants to end ACA",14012,4900,3115,"video","en",NA
"111",2020-10-25,"biden","Folks, the I Will Vote concert is finally here. Tune in as an incredible lineup of stars comes together to get out the vote.","Video of event",NA,NA,NA,"video","en",NA
"112",2020-10-25,"biden","Juntos podemos pasar la página y construir un mejor país que funcione para todos.","campaign ad in spanish",7585,2800,899,"video","es",NA
"113",2020-10-25,"biden","Les haré esta promesa, como presidente lucharé por todos porque somos más fuertes cuando estamos unidos.","no pictures, just post",43597,5500,1419,"post","es",NA
"114",2020-10-26,"biden","Bridgett — thank you for your kind words. The pain that you and your family have experienced is a pain that no one should experience, but one that families - especially Black families - in America have experienced for decades. 
I made a promise to your family that I won’t let George be forgotten — and I’ll work every day as president to keep that promise.","campaign video on floyd",6692,1600,734,"video","en",NA
"115",2020-10-26,"biden","My friend Katie Porter brought out her famous whiteboard to break down how Kamala Harris and I will put kids and families first.","campaign video",5790,1100,638,"video","en",NA
"116",2020-10-26,"biden","This week we passed 8 million COVID-19 cases in the United States. We’ve lost over 220,000 Americans to this deadly virus. It didn’t have to get this bad, but our Commander-in-Chief has failed to get this under control.","video with Michelle Obama",17369,4500,2550,"video","en",NA
"117",2020-10-26,"biden","Rick — thank you for sharing your talent with me. I was so blown away by your art that I asked my team to add it to our online store: https://joe.link/37CIrk1","video with a man with down syndrome",12842,1500,1315,"video","en",NA
"118",2020-10-26,"biden","All work has dignity. It’s about time we give workers the protections and rights they deserve.","Biden riding train",11439,3000,1319,"video","en",NA
"119",2020-10-26,"biden","Florida, early voting has begun in many counties. Make your plan to vote! makeaplan.com/FL","campaign video of people pointing",12536,4400,1971,"video","en",NA
"120",2020-10-26,"biden","Nos quedan 8 días para lograr que nuestras voces se escuchen.","no pictures, just post",28363,9200,880,"post","es",NA
"121",2020-10-26,"biden","How great is this? The largest Biden sign in America is in Tama County, Iowa. Thank you to all the volunteers who helped create this 30-acre piece of crop-art. 
Rural America is the backbone of this country. My plan to build back better will create good-paying jobs in the heart of this country, and bring back our advantage in agriculture. The way we get there is by investing in the next generation of agriculture and conservation. Read my full plan: joebiden.com/rural-plan.","photo of the cornfield and crop-art",171999,13000,14068,"photo","en",NA
"122",2020-10-26,"biden","I say this all the time, that I’m a lucky guy to have been married to Jill for the last 43 years. And I feel especially lucky the days she breaks out the Italian recipes her family has passed down. Dr. Jill Biden’s chicken parmesan is a dinner we always look forward to in the Biden house.","Jill Biden narrates her recipe",8684,2500,943,"video","en",NA
"123",2020-10-26,"biden","Jenni is right. The fact is, even some families with employer health insurance still pay on average more than $4,500 out of pocket for childbirth and maternity care in America. Starting a family is such an important milestone, and it’s not one that should be overshadowed by the burden of bills.","woman explaining her struggles",9364,2700,1321,"video","en",NA
"124",2020-10-26,"biden","Folks, this is it. Only 8 days to go until Election Day. Kamala and I need your support to get us through to the finish line. Can we count on you?","photo biden and harris",10219,34000,368,"link to campaign website","en",NA
"125",2020-10-26,"biden","Protecting seniors starts with giving them the dignity and respect they deserve. I’ve put together a comprehensive plan that works to help Americans pay for their prescriptions and gain access to quality, affordable long-term care. Learn more: joebiden.com/older-americans","Biden's plan for seniors",7681,3400,1417,"video","en",NA
"126",2020-10-26,"biden","No president whose lies and failures have cost 225,000 American lives should keep his job. Period.","no pictures, just post",105617,15000,6700,"post","en",NA
"127",2020-10-26,"biden","I give you my word: If I am elected President, I will marshal the ingenuity and good will of this nation to turn division into unity and bring us together. We can disagree about how to move forward, but we must take the first step. And it starts with how we treat one another, how we talk to one another, how we respect one another.","clip of 2nd presidential debate",23392,5700,1896,"video","en",NA
"128",2020-10-26,"biden","Maryland, now is your chance to vote early! Head to iwillvote.com/md to find your polling location.","Photo with vote early sign",21669,6200,1189,"link to campaign website","en",NA
"129",2020-10-26,"biden","Do you want another four years of this?","campaign ad",14512,6700,2960,"video","en",NA
