posted_date,candidate,est_followers,message,observation,likes,comments,shares,media,type,link,collection_date,language
10/3/2024,harris,5400000,"On January 6, Donald Trump incited an attack on our nation’s democracy because he didn’t like the outcome of the election. Armed with weapons and animated by Trump’s lies, insurrectionists invaded the United States Capitol in an attempt to overturn a lawful election.
The January 6 Committee exemplified a bipartisan effort to safeguard our democracy and preserve our most sacred freedoms for generations to come—led by Republicans like Liz Cheney and Adam Kinzinger who chose to put country over party—alongside Democrats.
The oath to uphold the Constitution of the United States is sacred and must always be upheld—never violated. The most fundamental question in this election is: Who will obey that oath?
I have sworn that oath to uphold the Constitution six times throughout my career—not only as Vice President or as a U.S. Senator, but also as the top law enforcement officer of the largest state in our country. I have never wavered in upholding that oath, and I have always executed it faithfully and without reservation.
Therein lies the profound difference between Donald Trump and me.
Anyone who, like Donald Trump, violates that oath—who recklessly tramples on our democratic values, who actively tries to overturn the will of the American people, or who has called for the “termination” of the Constitution—must never again stand behind the seal of the President of the United States.
The vast majority of us agree that upholding the Constitution must be a basic requirement we expect of anyone seeking the highest office in the land. Regardless of our political party, we believe that we must hold sacred America’s fundamental principles—from the rule of law to the peaceful transfer of power.
If you stand for country, democracy, and the rule of law—our campaign has a place for you.","references to Cheney, Jan 6 and democracy",14039,6101,3276,yes,photo,,10/5/2024,en
10/3/2024,harris,5400000,"The burden of these natural disasters on local and state governments has been immense. 
Yesterday in Georgia, we announced that the federal government will reimburse 100% of local costs to get relief to those impacted as quickly as possible.",video of Harris in Georgia related to hurricane relief,3446,3111,1057,yes,video,,10/5/2024,en
10/3/2024,harris,5400000,"Our HBCUs are centers of academic excellence, and I have fought to make sure they are funded as such.
Watch my full conversation with All the Smoke: kamalaharris.link/AllTheSmoke",video of harris in a podcast,2133,1219,214,yes,video,kamalaharris.link/AllTheSmoke,10/5/2024,en
10/3/2024,harris,5400000,"President Biden and I will continue to make sure that communities have the support and the resources that they need not only to respond to this storm and its immediate aftermath, but also the resources they will need to recover.",video of harris in georgia hurricane relief related,3066,3113,297,yes,video,,10/5/2024,en
10/3/2024,harris,5400000,"Shanah Tovah from my parents, Mike and Barb.",video from Emhoff account on jewish holiday,9810,1393,465,yes,video,,10/5/2024,en
10/3/2024,harris,5400000,"So many Americans know what is at stake in this election. 
That is why I am grateful to have Congresswoman Liz Cheney join me on stage at Ripon College in Wisconsin to discuss how we can put country over party and fight for our freedoms. Watch now.
For ASL feed, please tune in here: https://us06web.zoom.us/j/82134948062",video of rally,8197,7079,1180,yes,video,https://us06web.zoom.us/j/82134948062,10/5/2024,en
10/3/2024,harris,5400000,"I have sworn an oath to uphold the Constitution six times in my career, and have always upheld it without reservation. 
Therein lies the profound difference between Donald Trump and me. He violated that oath, and, make no mistake: if given the chance, he would violate it again.",video of rally with cheney,4813,2939,619,yes,video,,10/5/2024,en
10/3/2024,harris,5400000,"t is an honor to have the endorsement of Liz Cheney.
The vast majority of us agree: We must hold sacred America's fundamental principles. If you share that view—no matter your political party—there is a place for you in this campaign.",rally with cheney,10097,3338,591,no,na,,10/5/2024,en
10/4/2024,harris,5400000,"In moments of crisis, we see the best of what we can do together.",photo of harris from VP account distributing hurricane relief aid,3131,956,232,yes,image,,10/5/2024,en
10/4/2024,harris,5400000,"In moments of crisis, we see the best of what we can do together.",repeat photo of harris distributing hurricane relief,3745,1760,237,yes,image,,10/5/2024,en
10/4/2024,harris,5400000,no text,announcement of event in Michigan,1334,627,0,yes,image,,10/5/2024,en
10/4/2024,harris,5400000,no text,announcement of event in Michigan,1676,962,0,yes,image,,10/5/2024,en
10/4/2024,harris,5400000,no text,image reads my economic plan will give a tax cut to 100 million Americans,7985,3430,455,yes,image,,10/5/2024,en
10/4/2024,harris,5400000,no text,announcement of event in Michigan,1040,384,0,yes,image,,10/5/2024,en
10/4/2024,harris,5400000,no text,announcement of event in Michigan,1520,763,2,yes,image,,10/5/2024,en
10/4/2024,harris,5400000,"As we tackle the climate crisis, we will lower household energy costs, create hundreds of thousands of high-quality clean energy jobs, and build a thriving clean energy economy. 
Tim Walz and I will always fight for the freedom to breathe clean air, drink clean water, and live free from the pollution that fuels the climate crisis.",climate and environmental issues,2559,1428,122,no,na,,10/5/2024,en
10/4/2024,harris,5400000,"Donald Trump makes big promises, but always fails to deliver. 
He said he was the only one who could bring back America’s manufacturing jobs. Then, America lost nearly 200,000 manufacturing jobs—and those losses started before the pandemic.",manufacturing jobs,5993,2979,380,no,na,,10/5/2024,en
10/4/2024,harris,5400000,"Clean water should be a right for everyone, not just the people who can afford it.
As president, I will work with communities like those in Flint, Michigan to ensure they not only have clean water, but the opportunity to recover economically and thrive.",clean water,3965,1547,208,no,na,,10/5/2024,en
10/4/2024,harris,5400000,"When unions are strong, America is strong.",photos of event,4154,983,217,yes,photo,,10/5/2024,en
10/4/2024,harris,5400000,"FEMA has already shipped over 11.5 million meals and 12.6 million liters of water to aid response efforts in the aftermath of Hurricane Helene. We have over 5,600 federal personnel on the ground.
This week, President Joe Biden also directed the Department of Defense to move up to 1,000 soldiers to support the delivery of food, water, and other essentials to impacted communities as quickly as possible.
Our nation is grateful for their dedication and service.",from VP account connected to hurricane relief,4876,3270,592,yes,photo,,10/7/2024,en
10/4/2024,harris,5400000,"The vast majority of us, regardless of political party, agree: Upholding the constitution must be a basic requirement of anyone seeking the highest office in the land.",video of rally with cheney,3080,3130,477,yes,video,,10/5/2024,en
10/4/2024,harris,5400000,"Donald Trump intends to end the Affordable Care Act—gutting access to life saving care for 45 million Americans, like Tina—with no plan to replace it.
As president, I will continue fighting to make health care more affordable for middle class families.",ad on healthcare,1961,1485,255,yes,video,,10/5/2024,en
10/4/2024,harris,5400000,"As president, I will continue to fight for American workers. 
Watch live as I deliver remarks in Detroit, Michigan. 
For ASL feed, please tune in here: https://us06web.zoom.us/j/82704359768",video of rally,4161,3301,464,yes,video,https://us06web.zoom.us/j/82704359768,10/5/2024,en
10/4/2024,harris,5400000,Donald Trump’s track record is a disaster for working people.,video of harris speaking,2343,1810,268,yes,video,,10/5/2024,en
10/4/2024,harris,5400000,"In moments of hardship, Americans rally together and show the best of who they are.
Thank you to everyone who has risen to this moment and stepped in to help. We will rebuild and recover together.",video of harris and hurricane relief,1966,1566,219,yes,video,,10/5/2024,en
10/4/2024,harris,5400000,"As president, I will fight for every American—no matter how they vote. Don’t miss my rally in Flint, Michigan where I will lay out my plans to stand up for our nation’s values and protect our freedoms. Watch now.
For ASL feed, please tune in here: https://us06web.zoom.us/j/85035012432",video of rally,4114,3420,689,yes,video,https://us06web.zoom.us/j/85035012432,10/5/2024,en
10/4/2024,harris,5400000,"Marking 32 days left till Election Day with #32.
Great seeing you, Magic Johnson!
IWillVote.com",video,4804,3652,576,yes,video,,10/7/2024,en
10/4/2024,harris,5400000,no text,ad of Trump and hurricane relief - video of PR,4710,3861,728,yes,video,,10/7/2024,en
10/4/2024,harris,5400000,"Federal disaster assistance is available to those impacted by Hurricane Helene in Florida, Georgia, North Carolina, South Carolina, Tennessee and Virginia. For help, you can:
☑️ Visit DisasterAssistance.gov 
☑️ Call 1-800-621-3362 
☑️ Use the FEMA app",from VP account connected to hurricane relief,3245,2339,503,no,na,,10/5/2024,en
10/5/2024,harris,5400000,More than 1 in 3 women in America lives under a Trump Abortion Ban. Women are dying because of them.,photo of trump as architect of abortion ban,3274,2815,428,yes,image,,10/7/2024,en
10/5/2024,harris,5400000,no text,image reference to middle class and opportunity economy,27710,8056,1840,yes,image,,10/7/2024,en
10/5/2024,harris,5400000,"Donald Trump will sell America’s future to his Big Oil donors rather than confront the climate crisis.
He has spent years calling climate change “a hoax,” and his Project 2025 agenda will cut climate change and clean energy programs and roll back protections against pollution.",project 2025,2828,2216,209,no,na,,10/7/2024,en
10/5/2024,harris,5400000,"President Biden and I are working to get food, water, generators, and other resources to communities impacted by Hurricane Helene as quickly as possible.",photos of harris at FEMA on hurricane relief,7043,3297,472,yes,photo,,10/7/2024,en
10/5/2024,harris,5400000,no text,video of harris talking to mayor of ashville nc about hurricane relief,3154,1690,329,yes,video,,10/7/2024,en
10/5/2024,harris,5400000,"In the aftermath of Hurricane Helene, we will rebuild, we will recover, and we will support the families, neighborhoods, and communities devastated by this tragedy. We are here for the long haul.",video repost of harris and hurricane relief,3307,3171,388,yes,video,,10/7/2024,en
10/6/2024,harris,5400000,"There are only 30 days left to vote early, vote by mail, or make your plan to vote in person. 
Commit to vote and make your plan at IWillVote.com.",image of Harris in rally with 30 days to vote,2694,1808,427,yes,image,IWillVote.com.,10/13/2024,en
10/6/2024,harris,5400000,This will be a game-changer.,"image of harris and quote reads that her administration will provide fist-time homeowners $25,000 for down payment",5756,3288,399,yes,image,,10/13/2024,en
10/6/2024,harris,5400000,no text,image includes statement of Affordable Healthcare Act and prescriptions,6245,2407,252,yes,image,,10/13/2024,en
10/6/2024,harris,5400000,"Under Project 2025, Donald Trump would create a national anti-abortion coordinator, which would force states to report on women's miscarriages and abortions. 
They're making it clear: They don't trust women. 
Governor Walz and I do.
When Congress passes a bill to restore reproductive freedom, as President of the United States, I will proudly sign it into law.
",Project 2025 and abortion,3098,2320,177,no,na,,10/13/2024,en
10/6/2024,harris,5400000,"To all the volunteers who saw neighbors or strangers in need and stepped in to help: Thank you.
You make our Nation proud.",from VP account Harris with volunteers making a relifef bag,3850,1487,239,yes,photo,,10/13/2024,en
10/6/2024,harris,5400000,"n the wake of Hurricane Helene, we are seeing the best of America.
That includes members of the North Carolina National Guard who are working around the clock to provide essential aid to communities in western North Carolina.",from VP account,3431,1708,230,yes,photo,,10/13/2024,en
10/6/2024,harris,5400000,"As we rebuild and recover from Hurricane Helene, we have seen strangers and neighbors alike coming together to take care of each other.
While in Georgia this week, I spoke with those impacted by the devastation to assure them we are with them for the long haul to help communities recover.",photos of Harris and hurricane relief,6147,2662,428,yes,photo,,10/13/2024,en
10/6/2024,harris,5400000,"North Carolina: your local, state, and federal officials are with you for the long haul. We are doing everything we can to get the communities devastated by Hurricane Helene the resources they need.","photos of Harris meeting with local leaders in Ashville, North Carolina",4662,2187,277,yes,photo,,10/13/2024,en
10/6/2024,harris,5400000,"30 days until Election Day. 
This is a fight for our freedoms and our future. Help us win in November: go.kamalaharris.com.",photos of Harris in a rally in wilkes-barre PA,3333,1420,373,yes,photo,go.kamalaharris.com.,10/13/2024,en
10/6/2024,harris,5400000,"Heroes in moments of crisis. 
Our country thanks the men and women in uniform for their service as we rebuild and recover from Hurricane Helene.",photos of Harris - meeting with military on hurricane relief duty,4465,1687,307,yes,photo,kamalaharris.link/CHD,10/13/2024,en
10/6/2024,harris,5400000,"Americans have so much more in common than what separates us. 
I am grateful for the support of Liz Cheney and so many Americans who have chosen to put country over party in this fight for the future.",video of Harris and Cheney,4086,1791,505,yes,video,,10/13/2024,en
10/6/2024,harris,5400000,"Donald Trump lost the 2020 election.
Then he refused to accept the will of the people, sent an armed mob to the U.S. Capitol, and threatened the life of his own vice president.
We cannot allow him a second term.",attack ad of Jan 6,2537,2401,546,yes,video,,10/13/2024,en
10/6/2024,harris,5400000,30 days left. Let;s win this. ,video of Emhoff,2503,1028,132,yes,video,,10/13/2024,en
10/6/2024,harris,5400000,"With 30 days left in this election, we have got some hard work ahead of us.
But you know we love hard work. Join our movement: go.kamalaharris.com",video,1916,1212,241,yes,video,go.kamalaharris.com.,10/13/2024,en
10/6/2024,harris,5400000,"Took a moment with Alex Cooper to see if we could think of any law that gives the government the power to make a decision about a man’s body.
The answer? No.",video,1642,1215,255,yes,video,,10/13/2024,en
10/6/2024,harris,5400000,"You don’t have to abandon your faith or deeply-held beliefs to agree that the government or Donald Trump shouldn’t be telling women what to do with their bodies.
Watch my full conversation with Alex Cooper on Spotify: kamalaharris.link/CHD",video,1944,1405,305,yes,video,,10/13/2024,en
10/6/2024,harris,5400000,My message to Gen Z and millennial voters.,video of clip of interview with Alex Cooper,2184,1374,267,yes,video,,10/13/2024,en
10/6/2024,harris,5400000,That someone? Donald Trump.,image of Harris on a podium reads: reference on the termination of the constitution ,10878,4759,939,yes,video,,10/13/2024,en
10/7/2024,harris,5400000,"I will never forget the horror of October 7, 2023, when Hamas terrorists brutally attacked Israel. Read my full statement:",from VP account,660,432,72,yes,image,,10/13/2024,en
10/7/2024,harris,5400000,no text,"image of Trump on Project 2025 connected to hurricane relief - gut National Weather Service, cut FEMA aid",3916,4204,764,yes,image,,10/13/2024,en
10/7/2024,harris,5400000,We trust women to make decisions about their own bodies.,image that notes that the government should not be telling a woman what to do with their body,7069,2309,2204,yes,image,,10/13/2024,en
10/7/2024,harris,5400000,"Our small business owners are community and civic leaders. They mentor, they hire locally, and they are the backbone of the America's economy. My plan will expand the startup deducation to $50,000 to help entrepeneurs get their businesses off the ground.","Image connected to small business and her plan o provide $50,000 to entrepeneurs to start the businesses",6128,2629,420,yes,image,,10/13/2024,en
10/7/2024,harris,5400000,For the people.,"Photo of Harris with quote that reads: My entire career, I've only had one client: the people.",9371,4093,667,yes,image,,10/13/2024,en
10/7/2024,harris,5400000,"I have been briefed on Hurricane Milton’s expected impact and our Administration’s work to support Florida ahead of the storm’s landfall. Today, President Joe Biden approved an emergency declaration for the state to provide federal support for lifesaving and emergency protective measures.
If you could be impacted by the storm, please follow local guidance, look out for one another, and stay safe.",from VP account,4231,1842,349,no,na,,10/13/2024,en
10/7/2024,harris,5400000,"Because of extreme Trump Abortion Bans in states across the country, including Texas, Louisiana, and Georgia, women are facing horrific consequences to their health and lives—even death.
Let me be clear: Donald Trump is the architect of this health care crisis. He hand selected three Supreme Court Justices to overturn the protections of Roe v. Wade, and they did just as he intended. And women across our nation are suffering.
I will never stop fighting for a woman's right to emergency medical care—and to restore the protections of Roe v. Wade so that women in every state have access to the care they need.",no media. This is on abortion,4067,2855,278,no,na,,10/13/2024,en
10/7/2024,harris,5400000,"In the wake of Hurricane Helene, I want to thank the first responders who, in moments of crisis, do extraordinary work that lifts others up—they are often the folks who have personally experienced loss and devastation but still leave their homes and families to provide relief for our communities.",no media. This is on hurricane relief,4478,1942,212,no,na,,10/13/2024,en
10/7/2024,harris,5400000,"Thank you to all the volunteers who have stepped up to help neighbors, friends, and strangers alike in the aftermath of Hurricane Helene. 
You have shown that the strength of America lies in coming together.","photos of Harris with volunteers, hurricane relief",13386,4483,983,yes,photo,,10/13/2024,en
10/7/2024,harris,5400000,"Moments of crisis bring out the best of who we are—and the North Carolina National Guard epitomizes that important and good work.
Thank you for all you continue to do as we respond to the devastation of Hurricane Helene.",video with National Guard troops and hurricane relief,2948,2126,411,yes,video,,10/13/2024,en
10/7/2024,harris,5400000,Nothing compares to moments like these on the campaign trail.,video of Harris hugging a girl on the campaign trail,15856,2923,2668,yes,video,,10/13/2024,en
10/7/2024,harris,5400000,"My background is in law enforcement. Yes, I own a glock.",clip of interview with 60 minutes,4756,5218,889,yes,video,,10/13/2024,en
10/7/2024,harris,5400000,"Take it from those who know him best: If Donald Trump is reelected, he will fill the White House with loyalists—and there will be no one to stop his worst instincts. 
Watch our new ad:",Video of former Trump advisors and disaster relief - criticizing Trump,3588,3029,1102,yes,video,,10/13/2024,en
10/8/2024,harris,5400000,I am proposing a plan that will allow Medicare to cover in-home healthcare,image,93536,10249,13569,yes,image,,10/13/2024,en
10/8/2024,harris,5400000,Strengthening Medicare to cover home care for our nation’s seniors and those with disabilities is good for families and our economy—and it is common sense.,image of Harris noting that she will propose to expand in home care for seniors as part of Medicare,6972,2063,2235,yes,image,,10/13/2024,en
10/8/2024,harris,5400000,I’ll put middle-class and working-class families first. Trump will not.,"image reads Unlike Donald Trump, I promise to put middle-class and working-class families first. Because the middle class is strong, America is strong",3687,2487,228,yes,image,,10/13/2024,en
10/8/2024,harris,5400000,This campaign is not just about us versus Donald Trump. Our campaign is about fighting for the future,image of Harris,4100,1514,284,yes,image,go.kamalaharris.com,10/13/2024,en
10/8/2024,harris,5400000,"As we prepare for Hurricane Milton to make landfall, I urge those in Florida to listen to evacuation orders, follow guidance from your local officials, and stay safe.
Federal personnel and resources are already on the ground and ready to support communities.",from VP account,4190,1888,261,no,na,,10/13/2024,en
10/8/2024,harris,5400000,"My mother was diagnosed with cancer when I was the district attorney of San Francisco. I remember cooking meals for her and taking her to her appointments. I did what I could to make her comfortable. I figured out which clothes were soft enough that they wouldn't irritate her, and told her stories to try and make her laugh. 
Caregiving is about dignity—not just for the patient, but also for the caregiver. We must lower the costs and ease the burdens faced by our caregivers to make it easier for them to provide care, while pursuing their aspirations.
Today, I am announcing a new historic Medicare at Home benefit as part of my plan to help families with caregiving needs and strengthen Medicare for the long-term. Over 67 million people are covered by Medicare, yet many Americans don’t realize that Medicare does not cover long-term services and assistance like home health aides. 
As a result, many American families face challenging and sometimes impossible choices. 
My plan will strengthen Medicare to cover home care services and support for seniors. This will include providing care workers with better wages, improving the quality of care for seniors and those with disabilities, and treating our seniors with the dignity they deserve.",photo Harris with her mother,35700,3289,4224,yes,photo,,10/13/2024,en
10/8/2024,harris,5400000,Family comes in many forms.,image of interview,37821,3043,4860,yes,photo,,10/13/2024,en
10/8/2024,harris,5400000,"Americans are standing up for the rule of law and our democratic ideals, and putting country over party in our fight for the future. 
WATCH:",video of Cheney and Jan 6,4005,2241,546,yes,video,,10/13/2024,en
10/8/2024,harris,5400000,"I took care of my mother when she was sick with cancer—I know that caregiving is about dignity.
My plan will allow Medicare to cover in-home health care, which will lower costs and reduce the financial and emotional stress for families across the country.",video clip of Harris in the View,3705,1760,730,yes,video,,10/13/2024,en
10/8/2024,harris,5400000,"As a prosecutor, I met with the parents of homicide victims to figure out who killed their child and bring those cases to justice.
I think of safety as a civil right.",clip of interview with Howard Stern,2415,1833,296,yes,video,,10/13/2024,en
10/8/2024,harris,5400000,The strength of America lies in coming together. We are here for those impacted by Hurricane Helene for the long haul.,video of Harris visiting Hurricane Helene victims,2178,1110,294,yes,video,,10/13/2024,en
10/8/2024,harris,5400000,"Over the last three and a half years, we have brought manufacturing back to America, creating 730,000 manufacturing jobs. 
As president, this will be a priority for my administration. We cannot have a strong middle class without American manufacturing.",video with graphs on manufacturing data,2243,1205,352,yes,video,,10/13/2024,en
10/8/2024,harris,5400000,"Donald Trump has put Putin over the American people time and time again. 
Now, a new report says that he secretly sent Putin COVID tests while withholding them from sick Americans. 
Watch our new ad:",campaign ad,2741,2598,1107,yes,video,,10/13/2024,en
10/8/2024,harris,5400000,"My economic plan will make life easier for the sandwich generation—those who are both raising children and caring for aging parents—by:
–Increasing support for care workers and at-home services
–Providing services tailored to fit health care needs
–Cutting down child care costs
–Giving prescription drug holders negotiation power",no media,2675,1500,155,no,na,,10/13/2024,en
